Id,User,Created,Tweet,Description,Location
1338453515275014147,evolutionmystik,2020-12-14 11:59:19,Texting me after 3 months of not talking to me to ask me how to do something without a proper greeting or “how are… https://t.co/Yg2asMkSpK,ᴊᴇᴡᴇʟᴇʀʏ ᴀʀᴛɪsᴛ • ᴄʀʏsᴛᴀʟ ᴇɴᴛʜᴜsɪᴀsᴛ • sᴘɪʀɪᴛᴜᴀʟ ᴀᴅᴠɪsᴏʀ,ᴀᴍᴏɴɢsᴛ ᴛʜᴇ ғʟᴏᴡᴇʀs
1338453515275001857,El_themur,2020-12-14 11:59:19,"@BunnyGain0 Follow me for a follow back ASAP try me!!! 
@El_Themur","Geologists, Petrologist and mineralogist","Lagos, Nigeria"
1338453515270639616,harmanchahal156,2020-12-14 11:59:19,"@VarunAdityaSin2 Shame on you Modi ji!!!!!
25 farmers have died in the protest.
Mr.Modi did not have time to even s… https://t.co/SfLoRvCuVK",Intellectual.,"Punjab, India"
1338453515266650114,PQCFC,2020-12-14 11:59:19,@stevief1962 Got one but tier 3 will mean can’t go,"Family man, Chelsea season ticket holder MHL, before that member, Benches, Middle of the Shed, Family Section in other words match goer","Sutton, London"
1338453515262337024,aahbk,2020-12-14 11:59:19,RT @matpida_: Rt for Dilan                   Like for My Heart https://t.co/6Eg6DZwacl,"AzzimOkayje, tak nangis lah","Lumut, Perak"
1338453515258179584,cocreative,2020-12-14 11:59:19,"The secret of being a bore is to tell everything. - Voltaire #quote
#jhquote","Inspiring, mentoring and training IT Managers and Business Owners to improve their Leadership & Management skills.  

Looking for exciting idea exchanges.",UK based - online everywhere
1338453515254030337,buss_alex,2020-12-14 11:59:19,"RT @F1: Seb's last day in red ❤️

#AbuDhabiGP 🇦🇪 #F1 https://t.co/jBIXWV4lC3","Facebook: Alex Buss
Snapchat: brooklynalex911 
Instagram: the_real_drivermod
YouTube: Drivermod
Tiktok: Drivermod",
1338453515249717251,meayaraa,2020-12-14 11:59:19,"RT @shafazevanya: 02L girl who likes to bacot, so ayo bekawan
.
.
.
#roleplayerindonesia
#mutualan #roleplayer #rpindonesia #rpwindonesia #…",ᴜɴʀᴇᴀʟ||slr 𝓨 𝓔 𝓙 𝓘  2000 // 𝖉𝖔𝖓'𝖙 𝖒𝖎𝖓𝖉 𝖒𝖊‼️,
1338453515249696768,puppets_world1,2020-12-14 11:59:19,Guess what?🥺🤍🤍🤍🤍 https://t.co/zYntbg2W0D,,
1338453515245502465,sursundae,2020-12-14 11:59:19,RT @jwnct127: 127 Home 🤍 #NCT127 https://t.co/pmMUU8ecXm,"𝗷𝘄.ʕっ•ᴥ•ʔっ=͟͟͞♡ / rt for FA / 𝘭𝘶𝘧𝘧𝘺,𝘬𝘦𝘯𝘮𝘢,𝘣𝘰𝘬𝘶𝘵𝘰",
1338453515245477891,lawrencebing,2020-12-14 11:59:19,"RT @ChandyAnil: What a proud moment for all Indians! Indian PM can boast of his retinue, the first citizen of India!",Hockey Secretary (Mumbai Schools Sports Association)... Football Coach and Love Politics,"Mumbai, India"
